"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 02 14:21:39 GMT 2023","Fri Jun 02 14:21:46 GMT 2023","7753","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifySelectedProductTitle","tests.Ordering.Order_Details.VerifySelectedProductTitle","verifySelectedProductTitle","verifySelectedProductTitle","Verify selected product title"
"failed","Fri Jun 02 14:18:57 GMT 2023","Fri Jun 02 14:19:05 GMT 2023","7765","IDP Project Tests","Smoke Tests","tests.Ordering.Checkout.VerifyAddingNewShippingAddressOnCheckout","tests.Ordering.Checkout.VerifyAddingNewShippingAddressOnCheckout","VerifyAddingNewShippingAddressOnCheckout","VerifyAddingNewShippingAddressOnCheckout","Verify adding a new shipping address on checkout"
"passed","Fri Jun 02 14:21:05 GMT 2023","Fri Jun 02 14:21:21 GMT 2023","16115","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductLinkRedirectsToProductDetailsPage","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductLinkRedirectsToProductDetailsPage","verifyCartFlyoutProductLinkRedirectsToProductDetailsPage","verifyCartFlyoutProductLinkRedirectsToProductDetailsPage","Verify cart flyout product link redirects to Product Details Page"
"passed","Fri Jun 02 14:24:48 GMT 2023","Fri Jun 02 14:24:59 GMT 2023","10817","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutDisplayedAfterAddingItemToCart","tests.Ordering.Cart_Flyout.VerifyCartFlyoutDisplayedAfterAddingItemToCart","verifyCartFlyoutDisplayedAfterAddingItemToCart","verifyCartFlyoutDisplayedAfterAddingItemToCart","Verify cart flyout is displayed after adding item to cart"
"passed","Fri Jun 02 14:24:34 GMT 2023","Fri Jun 02 14:24:46 GMT 2023","11967","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyAddedToCartProductPrice","tests.Ordering.Cart.VerifyAddedToCartProductPrice","verifySelectedProductTitle","verifySelectedProductTitle","Verify added to cart product price"
"failed","Fri Jun 02 14:17:55 GMT 2023","Fri Jun 02 14:18:04 GMT 2023","8836","IDP Project Tests","Smoke Tests","tests.Navigation.VerifyTopRatedProductsOnItemsListPageContainCategoryTitle","tests.Navigation.VerifyTopRatedProductsOnItemsListPageContainCategoryTitle","VerifyTopRatedProductsOnItemsListPageContainCategoryTitle","VerifyTopRatedProductsOnItemsListPageContainCategoryTitle","Verify top rated products on items list page contain category title"
"passed","Fri Jun 02 14:25:33 GMT 2023","Fri Jun 02 14:25:38 GMT 2023","4712","IDP Project Tests","Smoke Tests","tests.Search.VerifyPreviousSearchIsDisplayedAsSuggestion","tests.Search.VerifyPreviousSearchIsDisplayedAsSuggestion","verifySelectionOfAutocompleteSuggestion","verifySelectionOfAutocompleteSuggestion","Verify selection of autocomplete suggestion"
"passed","Fri Jun 02 14:25:24 GMT 2023","Fri Jun 02 14:25:31 GMT 2023","7208","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifySelectedProductFreeDeliveryDate","tests.Ordering.Order_Details.VerifySelectedProductFreeDeliveryDate","verifySelectedProductFreeDeliveryDate","verifySelectedProductFreeDeliveryDate","Verify selected product free delivery date"
"passed","Fri Jun 02 14:18:06 GMT 2023","Fri Jun 02 14:18:21 GMT 2023","15020","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyCartButtonCounterWhenProductAddedToCart","tests.Ordering.Cart.VerifyCartButtonCounterWhenProductAddedToCart","verifyCartButtonCounterWhenProductAddedToCart","verifyCartButtonCounterWhenProductAddedToCart","Verify cart button counter when product added to cart"
"passed","Fri Jun 02 14:18:23 GMT 2023","Fri Jun 02 14:18:34 GMT 2023","10975","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutDeleteButtonRemovesProduct","tests.Ordering.Cart_Flyout.VerifyCartFlyoutDeleteButtonRemovesProduct","verifyCartFlyoutProductPrice","verifyCartFlyoutProductPrice","Verify cart flyout product price"
"failed","Fri Jun 02 14:20:18 GMT 2023","Fri Jun 02 14:20:40 GMT 2023","21283","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyProceedToCheckoutButtonRedirectsToProductCheckoutPage","tests.Ordering.Order_Confirmation.VerifyProceedToCheckoutButtonRedirectsToProductCheckoutPage","verifyProceedToCheckoutButtonRedirectsToProductCheckoutPage","verifyProceedToCheckoutButtonRedirectsToProductCheckoutPage","Verify Proceed to Checkout button redirects to Product Checkout page"
"passed","Fri Jun 02 14:27:31 GMT 2023","Fri Jun 02 14:27:46 GMT 2023","15046","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyProductSuccessMessageIsDisplayed","tests.Ordering.Order_Confirmation.VerifyProductSuccessMessageIsDisplayed","verifyProductSubtotalPrice","verifyProductSubtotalPrice","Verify product subtotal price"
"passed","Fri Jun 02 14:22:40 GMT 2023","Fri Jun 02 14:23:04 GMT 2023","24225","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyAddedToCartProductsSubtotal","tests.Ordering.Cart.VerifyAddedToCartProductsSubtotal","verifySelectedProductTitle","verifySelectedProductTitle","Verify added to cart products subtitle"
"passed","Fri Jun 02 14:21:02 GMT 2023","Fri Jun 02 14:21:03 GMT 2023","1456","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyCartButtonRedirectsToCartPage","tests.Ordering.Cart.VerifyCartButtonRedirectsToCartPage","verifyCartButtonRedirectsToCartPage","verifyCartButtonRedirectsToCartPage","Verify Cart button redirects to Cart page"
"passed","Fri Jun 02 14:27:15 GMT 2023","Fri Jun 02 14:27:29 GMT 2023","13319","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductPrice","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductPrice","verifyCartFlyoutProductPrice","verifyCartFlyoutProductPrice","Verify cart flyout product price"
"passed","Fri Jun 02 14:21:49 GMT 2023","Fri Jun 02 14:21:53 GMT 2023","4299","IDP Project Tests","Smoke Tests","tests.Search.VerifySearchResultItemsContainSearchValue","tests.Search.VerifySearchResultItemsContainSearchValue","verifySearchResultItemsContainSearchValue","verifySearchResultItemsContainSearchValue","Verify search result contain search value"
"passed","Fri Jun 02 14:23:57 GMT 2023","Fri Jun 02 14:24:00 GMT 2023","2821","IDP Project Tests","Smoke Tests","tests.Search.VerifySearchForItem","tests.Search.VerifySearchForItem","verifySearchForItem","verifySearchForItem","Search for item"
"passed","Fri Jun 02 14:23:39 GMT 2023","Fri Jun 02 14:23:48 GMT 2023","8974","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifySelectedProductPrice","tests.Ordering.Order_Details.VerifySelectedProductPrice","verifySelectedProductPrice","verifySelectedProductPrice","Verify selected product price"
"passed","Fri Jun 02 14:27:48 GMT 2023","Fri Jun 02 14:27:49 GMT 2023","964","IDP Project Tests","Smoke Tests","tests.Search.VerifyAutocompleteFlyoutAppears","tests.Search.VerifyAutocompleteFlyoutAppears","verifyAutocompleteFlyoutAppears","verifyAutocompleteFlyoutAppears","Verify autocomplete flyout appears"
"passed","Fri Jun 02 14:28:08 GMT 2023","Fri Jun 02 14:28:22 GMT 2023","14121","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutSubtotalPrice","tests.Ordering.Cart_Flyout.VerifyCartFlyoutSubtotalPrice","verifyCartFlyoutSubtotalPrice","verifyCartFlyoutSubtotalPrice","Verify cart flyout subtotal price"
"failed","Fri Jun 02 14:26:01 GMT 2023","Fri Jun 02 14:26:09 GMT 2023","8061","IDP Project Tests","Smoke Tests","tests.Authentication.VerifySignOut","tests.Authentication.VerifySignOut","verifySignOut","verifySignOut","User sign out"
"passed","Fri Jun 02 14:20:41 GMT 2023","Fri Jun 02 14:20:54 GMT 2023","12440","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifyAddToCartButtonRedirectsToOrderConfirmationPage","tests.Ordering.Order_Details.VerifyAddToCartButtonRedirectsToOrderConfirmationPage","verifyAddToCartButtonRedirectsToOrderConfirmationPage","verifyAddToCartButtonRedirectsToOrderConfirmationPage","Verify Add to Cart button redirects to Product Confirmation Page"
"passed","Fri Jun 02 14:27:51 GMT 2023","Fri Jun 02 14:28:06 GMT 2023","14868","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyAddedToCartProductTitle","tests.Ordering.Cart.VerifyAddedToCartProductTitle","verifySelectedProductTitle","verifySelectedProductTitle","Verify added to cart product title"
"passed","Fri Jun 02 14:21:23 GMT 2023","Fri Jun 02 14:21:37 GMT 2023","13261","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyProductSubtotalPrice","tests.Ordering.Order_Confirmation.VerifyProductSubtotalPrice","verifyProductSubtotalPrice","verifyProductSubtotalPrice","Verify product subtotal price"
"failed","Fri Jun 02 14:19:28 GMT 2023","Fri Jun 02 14:19:36 GMT 2023","8091","IDP Project Tests","Smoke Tests","tests.Ordering.Home_Page.VerifyProductAppearsInPickupWhereYouLeftSection","tests.Ordering.Home_Page.VerifyProductAppearsInPickupWhereYouLeftSection","verifyProductAppearsInPickupWhereYouLeftSection","verifyProductAppearsInPickupWhereYouLeftSection","Verify product appears in pick up where you left section"
"unknown","Fri Jun 02 14:17:19 GMT 2023","Fri Jun 02 14:17:19 GMT 2023","5","IDP Project Tests","Smoke Tests","tests.Authentication.VerifyEmptyEmailSignIn","tests.Authentication.VerifyEmptyEmailSignIn","verifyEmptyEmailSignIn","verifyEmptyEmailSignIn","Sign in with incorrect email"
"unknown","Fri Jun 02 14:17:19 GMT 2023","Fri Jun 02 14:17:19 GMT 2023","0","IDP Project Tests","Smoke Tests","tests.Authentication.VerifyIncorrectPasswordSignIn","tests.Authentication.VerifyIncorrectPasswordSignIn","verifyIncorrectPasswordSignIn","verifyIncorrectPasswordSignIn","Sign in with incorrect password"
"passed","Fri Jun 02 14:20:56 GMT 2023","Fri Jun 02 14:21:00 GMT 2023","3520","IDP Project Tests","Smoke Tests","tests.Search.VerifySelectionOfAutocompleteSuggestion","tests.Search.VerifySelectionOfAutocompleteSuggestion","verifySelectionOfAutocompleteSuggestion","verifySelectionOfAutocompleteSuggestion","Verify selection of autocomplete suggestion"
"failed","Fri Jun 02 14:24:23 GMT 2023","Fri Jun 02 14:24:32 GMT 2023","8721","IDP Project Tests","Smoke Tests","tests.Authentication.VerifySuccessfulSignIn","tests.Authentication.VerifySuccessfulSignIn","verifySuccessfulSignIn","verifySuccessfulSignIn","Sign in with correct email and password"
"unknown","Fri Jun 02 14:17:19 GMT 2023","Fri Jun 02 14:17:19 GMT 2023","0","IDP Project Tests","Smoke Tests","tests.Authentication.VerifyEmptyPasswordSignIn","tests.Authentication.VerifyEmptyPasswordSignIn","verifyEmptyPasswordSignIn","verifyEmptyPasswordSignIn","Sign in with incorrect email"
"failed","Fri Jun 02 14:28:49 GMT 2023","Fri Jun 02 14:28:59 GMT 2023","9410","IDP Project Tests","Smoke Tests","tests.Search.VerifyUpdatingSearchDropdownByFilter","tests.Search.VerifyUpdatingSearchDropdownByFilter","VerifyUpdatingSearchDropdownByFilter","VerifyUpdatingSearchDropdownByFilter","Verify updating search dropdown by filter"
"passed","Fri Jun 02 14:23:06 GMT 2023","Fri Jun 02 14:23:19 GMT 2023","12242","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutGoToCartButtonRedirectsToCartPage","tests.Ordering.Cart_Flyout.VerifyCartFlyoutGoToCartButtonRedirectsToCartPage","verifyCartFlyoutGoToCartButtonRedirectsToCartPage","verifyCartFlyoutGoToCartButtonRedirectsToCartPage","Verify cart flyout Go to Cart button redirects to Cart Page"
"passed","Fri Jun 02 14:23:21 GMT 2023","Fri Jun 02 14:23:36 GMT 2023","15670","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyGoToCartButtonRedirectsToCartPage","tests.Ordering.Order_Confirmation.VerifyGoToCartButtonRedirectsToCartPage","verifyGoToCartButtonRedirectsToCartPage","verifyGoToCartButtonRedirectsToCartPage","Verify Go to Cart button redirects to cart page"
"passed","Fri Jun 02 14:29:01 GMT 2023","Fri Jun 02 14:29:03 GMT 2023","1196","IDP Project Tests","Smoke Tests","tests.Search.VerifyAutocompleteSuggestionsIncludeSearchValue","tests.Search.VerifyAutocompleteSuggestionsIncludeSearchValue","VerifyAutocompleteSuggestionsIncludeSearchValue","VerifyAutocompleteSuggestionsIncludeSearchValue","Verify autocomplete suggestions include search value"
"failed","Fri Jun 02 14:26:54 GMT 2023","Fri Jun 02 14:27:13 GMT 2023","19044","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyProceedToCheckoutButtonRedirectsToCheckoutPage","tests.Ordering.Cart.VerifyProceedToCheckoutButtonRedirectsToCheckoutPage","verifyProceedToCheckoutButtonRedirectsToCheckoutPage","verifyProceedToCheckoutButtonRedirectsToCheckoutPage","Verify Proceed to Checkout button redirects to Checkout page"
"unknown","Fri Jun 02 14:17:19 GMT 2023","Fri Jun 02 14:17:19 GMT 2023","0","IDP Project Tests","Smoke Tests","tests.Authentication.VerifyIncorrectEmailSignIn","tests.Authentication.VerifyIncorrectEmailSignIn","verifyIncorrectEmailSignIn","verifyIncorrectEmailSignIn","Sign in with incorrect email"
"passed","Fri Jun 02 14:25:01 GMT 2023","Fri Jun 02 14:25:14 GMT 2023","13046","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyProductImageIsDisplayed","tests.Ordering.Order_Confirmation.VerifyProductImageIsDisplayed","verifyProductSubtotalPrice","verifyProductSubtotalPrice","Verify product subtotal price"
